PharmGKB Accession Id	Name	Alternate Names	Cross-references	External Vocabulary
PA166048914	Conjunctivitis, Acute Hemorrhagic			"""NDFRT:N0000000834(Conjunctivitis, Acute Hemorrhagic)"", ""MONDO:MONDO:0005634(acute hemorrhagic conjunctivitis)"""
PA166048761	Conjunctivitis, Allergic			"""NDFRT:N0000000835(Conjunctivitis, Allergic)"", ""HP:HP:0007879(Allergic conjunctivitis)"""
PA166048904	Conjunctivitis, Viral			"""NDFRT:N0000000838(Conjunctivitis, Viral)"", ""MONDO:MONDO:0043541(viral conjunctivitis)"""
PA443780	Connective Tissue Diseases	"""Connective Tissue Disease"", ""Connective tissue disease"", ""Disease of connective tissues"", ""Disease, Connective Tissue"", ""Diseases, Connective Tissue"", ""Disorder of connective tissue"""		MeSH:D003240(Connective Tissue Diseases), SnoMedCT:105969002(Disorder of connective tissue), UMLS:C0009782(C0009782), MedDRA:10061087(Connective tissue disorder), NDFRT:N0000000839(Connective Tissue Diseases [Disease/Finding]), MONDO:MONDO:0003900(connective tissue disorder)
PA443782	Constipation	CN - Constipation, Constipated, Constipation NOS, Costiveness, Difficult passing motion, Difficulty defecating, Difficulty opening bowels, Difficulty passing stool		MeSH:D003248(Constipation), SnoMedCT:14760008(Constipation), SnoMedCT:197123003(Constipation NOS), UMLS:C0009806(C0009806), MedDRA:10010774(Constipation), NDFRT:N0000000841(Constipation [Disease/Finding]), MONDO:MONDO:0002203(constipation disorder), HP:HP:0002019(Constipation)
PA165108935	Constrictive pericarditis NOS			"""MeSH:D010494(Pericarditis, Constrictive)"", ""SnoMedCT:194969008(Constrictive pericarditis NOS)"", ""UMLS:C0031048(C0031048)"", ""MedDRA:10010783(Constrictive pericarditis)"", ""NDFRT:N0000002363(Pericarditis, Constrictive [Disease/Finding])"", ""MONDO:MONDO:0006711(constrictive pericarditis)"""
PA165108965	Corneal disorder NOS			MeSH:D003316(Corneal Diseases), SnoMedCT:193856004(Corneal disorder NOS), UMLS:C0010034(C0010034), MedDRA:10061453(Corneal disorder), NDFRT:N0000000851(Corneal Diseases [Disease/Finding]), MONDO:MONDO:0000942(corneal disorder)
PA443792	Corneal Dystrophies, Hereditary	"""Corneal Dystrophy, Hereditary"", ""Corneal Granular Dystrophies"", ""Corneal Granular Dystrophy"", ""Corneal Macular Dystrophies"", ""Corneal Macular Dystrophy"", ""Corneal Stromal Dystrophies"", ""Corneal Stromal Dystrophy"", ""Dystrophies, Corneal Granular"", ""Dystrophies, Corneal Macular"", ""Dystrophies, Corneal Stromal"", ""Dystrophies, Groenouw's"", ""Dystrophies, Hereditary Corneal"", ""Dystrophy, Corneal Granular"", ""Dystrophy, Corneal Macular"", ""Dystrophy, Corneal Stromal"", ""Dystrophy, Hereditary Corneal"", ""Granular Dystrophies, Corneal"", ""Granular Dystrophy, Corneal"", ""Groenouw Dystrophies"", ""Groenouw's Dystrophies"", ""Groenouws Dystrophies"", ""Hereditary Corneal Dystrophies"", ""Hereditary Corneal Dystrophy"", ""Hereditary corneal dystrophy NOS"", ""Hereditary corneal dystrophy, NOS"", ""Macular Dystrophies, Corneal"", ""Macular Dystrophy, Corneal"", ""Stromal Dystrophies, Corneal"", ""Stromal Dystrophy, Corneal"""		"""MeSH:D003317(Corneal Dystrophies, Hereditary)"", ""SnoMedCT:193842001(Hereditary corneal dystrophy NOS)"", ""SnoMedCT:77797009(Hereditary corneal dystrophy)"", ""UMLS:C0010035(C0010035)"", ""MedDRA:10019867(Hereditary corneal dystrophies)"", ""NDFRT:N0000000852(Corneal Dystrophies, Hereditary [Disease/Finding])"", ""MONDO:MONDO:0018102(corneal dystrophy)"""
PA165108400	Corneal ulcer NOS			MeSH:D003320(Corneal Ulcer), SnoMedCT:193763007(Corneal ulcer NOS), UMLS:C0010043(C0010043), MedDRA:10048492(Corneal ulcer), NDFRT:N0000000854(Corneal Ulcer [Disease/Finding]), MONDO:MONDO:0004577(corneal ulcer)
PA166048845	Coronary Aneurysm			NDFRT:N0000000855(Coronary Aneurysm), MONDO:MONDO:0006714(coronary aneurysm)
